game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2024-07-24,746851,R,Final,Wrigley Field,2024-07-24 18:20:00+00:00,Milwaukee Brewers,Chicago Cubs,158,112,,
2024-07-24,746525,R,Final,Coors Field,2024-07-24 19:10:00+00:00,Boston Red Sox,Colorado Rockies,111,115,,
2024-07-24,745634,R,Final,Oakland Coliseum,2024-07-24 19:37:00+00:00,Houston Astros,Oakland Athletics,117,133,,
2024-07-24,745231,R,Final,T-Mobile Park,2024-07-24 19:40:00+00:00,Los Angeles Angels,Seattle Mariners,108,136,,
2024-07-24,746611,R,Final,Progressive Field,2024-07-24 22:40:00+00:00,Detroit Tigers,Cleveland Guardians,116,114,,
2024-07-24,746035,R,Final,loanDepot park,2024-07-24 22:40:00+00:00,Baltimore Orioles,Miami Marlins,110,146,,
2024-07-24,744824,R,Final,Nationals Park,2024-07-24 22:45:00+00:00,San Diego Padres,Washington Nationals,135,120,,
2024-07-24,745716,R,Final,Yankee Stadium,2024-07-24 23:05:00+00:00,New York Mets,New York Yankees,121,147,,
2024-07-24,744905,R,Final,Rogers Centre,2024-07-24 23:07:00+00:00,Tampa Bay Rays,Toronto Blue Jays,139,141,,
2024-07-24,744989,R,Final,Globe Life Field,2024-07-25 00:05:00+00:00,Chicago White Sox,Texas Rangers,145,140,,
2024-07-24,746279,R,Final,Kauffman Stadium,2024-07-25 00:10:00+00:00,Arizona Diamondbacks,Kansas City Royals,109,118,,
2024-07-24,746119,R,Final,Dodger Stadium,2024-07-25 02:10:00+00:00,San Francisco Giants,Los Angeles Dodgers,137,119,,
2024-07-24,747090,R,Postponed,Truist Park,2024-07-24 22:05:00+00:00,Cincinnati Reds,Atlanta Braves,113,144,,
2024-07-25,744827,R,Final,Nationals Park,2024-07-25 16:05:00+00:00,San Diego Padres,Washington Nationals,135,120,,
2024-07-25,746037,R,Final,loanDepot park,2024-07-25 16:10:00+00:00,Baltimore Orioles,Miami Marlins,110,146,,
